"time_ms","auc","null_mean","null_q975","p_pointwise","cluster_id","cluster_p","significant","cluster_threshold","n_perm","n_trials","n_participants","property","analysis","level","session","mini_language","cluster_p_fdr","significant_fdr","inference"
-98,0.502761836909001,0.500190862221375,0.519854716546976,0.428571428571429,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-94,0.502918219998474,0.500633094640879,0.52010317707372,0.443556443556444,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-90,0.499758134212457,0.500570663784982,0.520333373655011,0.545454545454545,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-86,0.498701633918723,0.500265775999122,0.521000838547177,0.569430569430569,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-82,0.49989467606074,0.499787323283475,0.521143175156428,0.505494505494505,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-78,0.490419454521967,0.499777419192278,0.520332648315235,0.816183816183816,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-74,0.492460598257019,0.500079494380465,0.520494384593533,0.769230769230769,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-70,0.510694637251687,0.500151194988906,0.521210939628871,0.161838161838162,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-66,0.514612097025296,0.500139567515406,0.518139175998326,0.0719280719280719,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-62,0.515235765367818,0.5000369121483,0.519564958919989,0.0849150849150849,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-58,0.513741180202044,0.500027576419429,0.519474421054128,0.0969030969030969,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-54,0.514270014937931,0.500048897996068,0.520015827002555,0.0809190809190809,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-50,0.511826618903354,0.500343926481538,0.520645058385774,0.142857142857143,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-46,0.503832598061385,0.50024601196968,0.520309468836169,0.403596403596404,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-42,0.507053065198984,0.500225849046387,0.520810226049767,0.27972027972028,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-38,0.517729010642413,0.500377533056629,0.520489374817869,0.044955044955045,1,0.865134865134865,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-34,0.520511328642037,0.500153683727736,0.520640299643917,0.026973026973027,1,0.865134865134865,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-30,0.51162647478394,0.500170979707996,0.519511259789834,0.141858141858142,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-26,0.501038013587077,0.500257193345641,0.519989286780728,0.472527472527473,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-22,0.514512009686715,0.49978305719267,0.520041028433596,0.0749250749250749,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
-18,0.52357147315467,0.499576963426389,0.519644781490399,0.00799200799200799,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-14,0.527970146202512,0.499977272335182,0.521421061206121,0.00699300699300699,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-10,0.530595356695823,0.499889879226178,0.520269992721955,0.001998001998002,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-6,0.524548928950216,0.499697211589129,0.519948293249468,0.00599400599400599,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
-2,0.52964473295503,0.499884233605062,0.520175745326743,0.002997002997003,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
2,0.527799295776515,0.499984959521049,0.520217133000114,0.00699300699300699,2,0.0789210789210789,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,0.965034965034965,FALSE,"confirmatory"
6,0.512436877956489,0.500158568445793,0.521412957044623,0.125874125874126,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
10,0.502067159701455,0.500251018293427,0.521238173789668,0.430569430569431,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
14,0.502704378128954,0.499985234310473,0.520551655389961,0.392607392607393,NA,NA,FALSE,0.517182491102458,1000,5679,56,"verb_object_number_agreement","overall","all",NA,NA,NA,FALSE,"confirmatory"
